"Geslacht";"Leeftijd";"Nationaliteit";"Perioden";"Eerste asielverzoeken (personen) (aantal)";"Nareizigers (personen) (aantal)"
"Totaal mannen en vrouwen ";"Totaal";"Somalisch ";"2022 augustus";"     120";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Somalisch ";"2022 september";"     115";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Somalisch ";"2022 oktober";"     135";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Somalisch ";"2022 november";"     180";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Somalisch ";"2022 december";"     175";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Somalisch ";"2023 januari*";"     160";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Somalisch ";"2023 februari*";"     155";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Somalisch ";"2023 maart*";"     165";"      15"
"Totaal mannen en vrouwen ";"Totaal";"Somalisch ";"2023 april*";"     140";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Syrisch ";"2022 april";"     570";"     610"
"Totaal mannen en vrouwen ";"Totaal";"Syrisch ";"2022 mei";"     760";"     640"
"Totaal mannen en vrouwen ";"Totaal";"Syrisch ";"2022 juni";"     915";"     995"
"Totaal mannen en vrouwen ";"Totaal";"Syrisch ";"2022 juli";"    1040";"    1060"
"Totaal mannen en vrouwen ";"Totaal";"Syrisch ";"2022 augustus";"    1510";"     770"
"Totaal mannen en vrouwen ";"Totaal";"Syrisch ";"2022 september";"    2045";"     650"
"Totaal mannen en vrouwen ";"Totaal";"Syrisch ";"2022 oktober";"    1740";"     345"
"Totaal mannen en vrouwen ";"Totaal";"Syrisch ";"2022 november";"    1650";"     200"
"Totaal mannen en vrouwen ";"Totaal";"Syrisch ";"2022 december";"     795";"     215"
"Totaal mannen en vrouwen ";"Totaal";"Syrisch ";"2023 januari*";"     640";"     175"
"Totaal mannen en vrouwen ";"Totaal";"Syrisch ";"2023 februari*";"     455";"     280"
"Totaal mannen en vrouwen ";"Totaal";"Syrisch ";"2023 maart*";"     465";"     630"
"Totaal mannen en vrouwen ";"Totaal";"Syrisch ";"2023 april*";"     585";"     575"
"Totaal mannen en vrouwen ";"Totaal";"Tunesisch ";"2022 april";"      10";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Tunesisch ";"2022 mei";"      15";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Tunesisch ";"2022 juni";"      20";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Tunesisch ";"2022 juli";"      20";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Tunesisch ";"2022 augustus";"      20";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Tunesisch ";"2022 september";"      20";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Tunesisch ";"2022 oktober";"      45";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Tunesisch ";"2022 november";"      30";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Tunesisch ";"2022 december";"      40";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Tunesisch ";"2023 januari*";"      40";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Tunesisch ";"2023 februari*";"      25";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Tunesisch ";"2023 maart*";"      40";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Tunesisch ";"2023 april*";"      25";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Turks ";"2022 april";"     205";"      45"
"Totaal mannen en vrouwen ";"Totaal";"Turks ";"2022 mei";"     195";"      75"
"Totaal mannen en vrouwen ";"Totaal";"Turks ";"2022 juni";"     295";"     135"
"Totaal mannen en vrouwen ";"Totaal";"Turks ";"2022 juli";"     250";"     290"
"Totaal mannen en vrouwen ";"Totaal";"Turks ";"2022 augustus";"     295";"     115"
"Totaal mannen en vrouwen ";"Totaal";"Turks ";"2022 september";"     385";"      80"
"Totaal mannen en vrouwen ";"Totaal";"Turks ";"2022 oktober";"     300";"      85"
"Totaal mannen en vrouwen ";"Totaal";"Turks ";"2022 november";"     220";"      50"
"Totaal mannen en vrouwen ";"Totaal";"Turks ";"2022 december";"     175";"      80"
"Totaal mannen en vrouwen ";"Totaal";"Turks ";"2023 januari*";"     165";"      60"
"Totaal mannen en vrouwen ";"Totaal";"Turks ";"2023 februari*";"     155";"      75"
"Totaal mannen en vrouwen ";"Totaal";"Turks ";"2023 maart*";"     160";"     125"
"Totaal mannen en vrouwen ";"Totaal";"Turks ";"2023 april*";"     150";"     105"
"Totaal mannen en vrouwen ";"Totaal";"Wit-Russisch ";"2022 april";"      20";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Wit-Russisch ";"2022 mei";"      10";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Wit-Russisch ";"2022 juni";"       5";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Wit-Russisch ";"2022 juli";"       0";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Wit-Russisch ";"2022 augustus";"      10";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Wit-Russisch ";"2022 september";"      10";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Wit-Russisch ";"2022 oktober";"       5";"       0"
